TS(ms): 81566 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 81832 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 82099 | PIR: 0,0,0,0 | US(cm): 209,210,258 | Delta(cm): 0,0,55
TS(ms): 82363 | PIR: 1,0,0,0 | US(cm): 211,212,221 | Delta(cm): 0,0,18
TS(ms): 82641 | PIR: 1,0,0,0 | US(cm): 148,244,-1 | Delta(cm): 61,33,0
TS(ms): 82923 | PIR: 1,0,1,1 | US(cm): -1,244,210 | Delta(cm): 0,33,0
TS(ms): 83184 | PIR: 1,0,1,1 | US(cm): 160,212,207 | Delta(cm): 49,0,0
TS(ms): 83446 | PIR: 1,0,0,0 | US(cm): 167,211,215 | Delta(cm): 42,0,12
TS(ms): 83712 | PIR: 1,1,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 83976 | PIR: 1,1,0,0 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 84242 | PIR: 1,1,0,0 | US(cm): 211,211,256 | Delta(cm): 0,0,53
TS(ms): 84509 | PIR: 0,0,0,0 | US(cm): 210,212,247 | Delta(cm): 0,0,44
TS(ms): 84776 | PIR: 0,0,0,0 | US(cm): 210,210,247 | Delta(cm): 0,0,44
TS(ms): 85042 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 85308 | PIR: 0,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 85574 | PIR: 0,0,1,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 85840 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 86104 | PIR: 0,0,1,0 | US(cm): 209,210,214 | Delta(cm): 0,0,11
TS(ms): 86370 | PIR: 0,0,0,1 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 86636 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 86900 | PIR: 1,0,0,1 | US(cm): 210,210,213 | Delta(cm): 0,0,0
TS(ms): 87179 | PIR: 1,0,0,0 | US(cm): 209,210,-1 | Delta(cm): 0,0,0
TS(ms): 87476 | PIR: 0,0,0,0 | US(cm): -1,244,-1 | Delta(cm): 0,33,0
TS(ms): 87743 | PIR: 0,0,0,0 | US(cm): 212,243,215 | Delta(cm): 0,32,12
TS(ms): 88010 | PIR: 0,1,0,0 | US(cm): 208,210,245 | Delta(cm): 0,0,42
TS(ms): 88276 | PIR: 0,1,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 88542 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 88808 | PIR: 0,0,1,0 | US(cm): 210,218,246 | Delta(cm): 0,0,43
TS(ms): 89074 | PIR: 0,0,1,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 89340 | PIR: 0,0,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 89606 | PIR: 0,0,0,0 | US(cm): 209,210,254 | Delta(cm): 0,0,51
TS(ms): 89873 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 90139 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 90402 | PIR: 1,0,0,1 | US(cm): 187,217,215 | Delta(cm): 22,0,12
TS(ms): 90667 | PIR: 0,0,0,1 | US(cm): 209,211,212 | Delta(cm): 0,0,0
TS(ms): 90932 | PIR: 0,0,0,0 | US(cm): 209,212,228 | Delta(cm): 0,0,25
TS(ms): 91193 | PIR: 0,1,0,0 | US(cm): 150,211,212 | Delta(cm): 59,0,0
TS(ms): 91460 | PIR: 0,1,0,0 | US(cm): 226,244,213 | Delta(cm): 17,33,0
TS(ms): 91743 | PIR: 0,1,0,0 | US(cm): -1,243,250 | Delta(cm): 0,32,47
TS(ms): 92010 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 92276 | PIR: 0,0,1,0 | US(cm): 209,211,248 | Delta(cm): 0,0,45
TS(ms): 92543 | PIR: 0,0,1,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 92809 | PIR: 0,0,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 93075 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 93341 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 93607 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 93873 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
